任务编号,任务名称,开始天,结束天,持续天数,前置任务,责任角色,输出物
T01,项目启动与范围冻结,1,1,1,,PM,项目计划v0.1
T02,WBS与计划细化,2,2,1,T01,PM;配置管理,项目计划v0.2
T03,甘特图与风险表,2,2,1,T01,PM;配置管理,甘特图任务表;风险表
T04,前端工程骨架搭建,3,3,1,T02,前端负责人,前端项目骨架
T05,后端工程骨架搭建,3,3,1,T02,后端负责人,后端项目骨架
T06,页面结构与基础布局,4,4,1,T04,UI/UX;前端开发,基础页面框架
T07,登录与权限模块,4,4,1,T04;T05,前端开发;后端开发,登录模块
T08,企业信息管理模块,5,5,1,T07,前端开发;后端开发,企业管理模块
T09,就业数据管理模块,6,6,1,T08,前端开发;后端开发,就业模块
T10,失业数据管理模块,7,7,1,T09,前端开发;后端开发,失业模块
T11,查询筛选模块,8,8,1,T10,前端开发;后端开发,查询模块
T12,统计展示与导出,9,9,1,T11,前端开发;后端开发,统计与导出模块
T13,联调与缺陷修复,9,10,2,T08;T09;T10;T11;T12,前端开发;后端开发;测试,联调版系统
T14,变更单CR-001实施,10,10,1,T13,PM;前端开发;后端开发,变更单1;代码更新
T15,变更单CR-002实施,11,11,1,T14,PM;前端开发;后端开发,变更单2;代码更新
T16,变更单CR-003实施,12,12,1,T15,PM;前端开发;后端开发,变更单3;代码更新
T17,README与材料整理,13,13,1,T16,配置管理,README;截图;归档材料
T18,最终验收与提交,14,14,1,T17,PM;配置管理,最终提交版本
