任务编号,阶段,任务名称,开始周,结束周,持续周数,前置任务,责任角色,输出物
T01,阶段1,项目启动与范围冻结,1,1,1,,PM,项目计划v0.1
T02,阶段1,WBS与详细计划,1,1,1,T01,PM;配置管理,项目计划v0.2
T03,阶段1,技术方案与前后端骨架,1,1,1,T02,前端负责人;后端负责人,技术方案v0.1;系统骨架
T04,阶段2,登录与多角色权限,2,2,1,T03,前端开发;后端开发,登录权限模块
T05,阶段2,企业信息管理,2,2,1,T04,前端开发;后端开发,企业管理模块
T06,阶段3,报表周期模型改造,3,3,1,T05,后端开发,半月报/月报数据模型
T07,阶段3,就业数据录入,3,3,1,T06,前端开发;后端开发,就业录入模块
T08,阶段3,失业数据录入,3,3,1,T06,前端开发;后端开发,失业录入模块
T09,阶段4,查询筛选,4,4,1,T07;T08,前端开发;后端开发,查询模块
T10,阶段4,统计与导出,4,4,1,T09,前端开发;后端开发,统计导出模块
T11,阶段5,企业上报流程,5,5,1,T10,前端开发;后端开发,上报流程模块
T12,阶段6,市级审核流程,6,6,1,T11,前端开发;后端开发,市级审核模块
T13,阶段7,省级审核流程,7,7,1,T12,前端开发;后端开发,省级审核模块
T14,阶段8,企业端手机适配,8,8,1,T11,前端开发;UI/UX,企业端移动适配
T15,阶段8,审核端手机适配,8,8,1,T12;T13,前端开发;UI/UX,审核端移动适配
T16,阶段9,全链路联调与回归测试,9,9,1,T14;T15,测试负责人;测试工程师;前后端开发,联调测试版
T17,阶段9,变更验证与关闭说明,9,9,1,T16,PM;配置管理,变更关闭记录
T18,阶段10,材料归档与答辩准备,10,10,1,T17,配置管理;PM,最终提交包
